"source_attack_id","relationship_type","target_attack_id"
"M1040","mitigates","T1543.003"
"S0689","uses","T1620"
"S0534","uses","T1083"
"M1056","mitigates","T1588.006"
"S0643","uses","T1056.001"
"G1044","uses","S1192"
"S1013","uses","T1106"
"G0114","uses","S0029"
"S0662","uses","T1573"
"M1026","mitigates","T1555"
"S0586","uses","T1027.001"
"G0059","uses","T1547.001"
"S0653","uses","T1005"
"S1044","uses","T1547.001"
"S0141","uses","T1543.003"
"G1041","uses","T1583"
"S0653","uses","T1071.001"
"G0094","uses","T1685"
"G0018","uses","S0042"
"T1027.005","subtechnique-of","T1027"
"G1032","uses","T1047"
"S9012","uses","T1057"
"S0374","uses","T1082"
"S0625","uses","T1543.003"
"S1048","uses","T1105"
"G0032","uses","T1048.003"
"T1578.001","subtechnique-of","T1578"
"G1040","uses","S0359"
"G0075","uses","T1071.001"
"S0437","uses","T1070.004"
"G1002","uses","S1013"
"S0387","uses","T1016"
"S0260","uses","T1218.011"
"S1107","uses","T1059.004"
"S0396","uses","T1059.011"
"G1015","uses","T1556.009"
"S0686","uses","T1564.003"
"G0069","uses","S9032"
"M1056","mitigates","T1588.007"
"T1147","revoked-by","T1564.002"
"S0240","uses","T1112"
"S0638","uses","T1685"
"G1036","uses","T1587.001"
"S1130","uses","T1685"
"S0516","uses","T1105"
"G0127","uses","T1218.010"
"G1016","uses","T1078.001"
"G1017","uses","T1591.004"
"S0610","uses","T1106"
"G1001","uses","S1015"
"S0182","uses","T1134.001"
"S0514","uses","T1033"
"S1111","uses","T1071.004"
"S1074","uses","T1105"
"M1049","mitigates","T1027.015"
"G1039","uses","T1564.001"
"T1036.003","subtechnique-of","T1036"
"G0032","uses","T1001.003"
"G0007","uses","T1583.003"
"S0126","uses","T1071.003"
"S1031","uses","T1571"
"S0684","uses","T1018"
"G1004","uses","T1005"
"G0027","uses","T1030"
"S0462","uses","T1082"
"G0105","uses","T1588.002"
"S0670","uses","T1056.001"
"S0598","uses","T1505.003"
"S0651","uses","T1059.003"
"G0139","uses","T1070.004"
"S0204","uses","T1543.003"
"S0196","uses","T1059.006"
"G0010","uses","T1588.002"
"G1018","uses","T1573.002"
"G1036","uses","T1033"
"G1055","uses","T1119"
"S0439","uses","T1560.001"
